,age_type,time_span,count
33,18-30,00,2218
45,18-30,01,538
27,18-30,02,275
46,18-30,03,128
25,18-30,04,281
47,18-30,05,82
43,18-30,06,26
32,18-30,07,571
31,18-30,08,693
41,18-30,09,911
36,18-30,10,1438
39,18-30,11,6761
30,18-30,12,3032
34,18-30,13,3005
40,18-30,14,2433
29,18-30,15,5882
44,18-30,16,3654
42,18-30,17,3951
26,18-30,18,4527
37,18-30,19,4600
28,18-30,20,4620
38,18-30,21,3148
24,18-30,22,4558
35,18-30,23,3222
52,30-50,00,271
66,30-50,01,147
50,30-50,02,70
71,30-50,03,13
59,30-50,04,80
69,30-50,05,48
63,30-50,06,160
65,30-50,07,345
48,30-50,08,388
68,30-50,09,291
64,30-50,10,521
51,30-50,11,383
56,30-50,12,395
62,30-50,13,297
60,30-50,14,1460
67,30-50,15,2281
54,30-50,16,1701
61,30-50,17,877
49,30-50,18,1449
55,30-50,19,1374
57,30-50,20,1660
58,30-50,21,485
53,30-50,22,2218
70,30-50,23,144
110,50-70,00,21
112,50-70,01,1
99,50-70,02,11
108,50-70,03,9
96,50-70,04,211
91,50-70,05,72
111,50-70,06,14
97,50-70,07,7
109,50-70,08,9
101,50-70,09,20
105,50-70,10,39
107,50-70,11,17
104,50-70,12,115
98,50-70,13,162
100,50-70,14,204
103,50-70,15,246
94,50-70,16,1053
95,50-70,17,311
102,50-70,18,231
90,50-70,19,453
106,50-70,20,92
89,50-70,21,226
92,50-70,22,510
93,50-70,23,888
6,Under 18,00,470
4,Under 18,01,407
12,Under 18,02,732
11,Under 18,03,192
14,Under 18,04,24
16,Under 18,05,23
3,Under 18,06,111
21,Under 18,07,26
23,Under 18,08,37
10,Under 18,09,431
8,Under 18,10,197
19,Under 18,11,239
17,Under 18,12,696
5,Under 18,13,472
22,Under 18,14,366
0,Under 18,15,1048
2,Under 18,16,1060
9,Under 18,17,1722
18,Under 18,18,1087
7,Under 18,19,850
20,Under 18,20,388
1,Under 18,21,579
13,Under 18,22,554
15,Under 18,23,224
74,above 70,02,6
72,above 70,03,152
81,above 70,09,1
88,above 70,10,1
84,above 70,11,3
83,above 70,12,95
76,above 70,13,43
75,above 70,14,17
82,above 70,15,12
73,above 70,16,148
77,above 70,17,14
85,above 70,18,5
86,above 70,19,1
78,above 70,20,13
80,above 70,21,7
79,above 70,22,9
87,above 70,23,4
